CrimeDate,District,Location,Value
2011-01-24,SOUTHERN,Outside,11
2011-01-24,SOUTHWESTERN,Inside,5
2011-01-24,SOUTHWESTERN,Outside,8
2011-01-24,WESTERN,Inside,2
2011-01-24,WESTERN,Outside,1
2011-01-25,CENTRAL,Inside,13
2011-01-25,CENTRAL,Outside,7
2011-01-25,EASTERN,Inside,3
2011-01-25,EASTERN,Outside,3
2011-01-25,NORTHEASTERN,Inside,14
2011-01-25,NORTHEASTERN,Outside,8
2011-01-25,NORTHERN,Inside,6
2011-01-25,NORTHERN,Outside,7
2011-01-25,NORTHWESTERN,Inside,4
2011-01-25,NORTHWESTERN,Outside,5
2011-01-25,SOUTHEASTERN,Inside,3
2011-01-25,SOUTHEASTERN,Outside,7
2011-01-25,SOUTHERN,Inside,6
2011-01-25,SOUTHERN,Outside,3
2011-01-25,SOUTHWESTERN,Inside,2
2011-01-25,SOUTHWESTERN,Outside,7
2011-01-25,WESTERN,Inside,8
2011-01-25,WESTERN,Outside,1
2011-01-26,CENTRAL,Inside,6
2011-01-26,CENTRAL,Outside,3
2011-01-26,EASTERN,Inside,3
2011-01-26,EASTERN,Outside,2
2011-01-26,NORTHEASTERN,Inside,4
2011-01-26,NORTHEASTERN,Outside,3
2011-01-26,NORTHERN,Inside,6
2011-01-26,NORTHERN,Outside,7
2011-01-26,NORTHWESTERN,Inside,3
2011-01-26,NORTHWESTERN,Outside,4
2011-01-26,SOUTHEASTERN,Inside,2
2011-01-26,SOUTHEASTERN,Outside,9
2011-01-26,SOUTHERN,Inside,8
2011-01-26,SOUTHERN,Outside,5
2011-01-26,SOUTHWESTERN,Inside,2
2011-01-26,SOUTHWESTERN,Outside,4
2011-01-26,WESTERN,Inside,6
2011-01-26,WESTERN,Outside,3
2011-01-27,CENTRAL,Inside,6
2011-01-27,CENTRAL,Outside,4
2011-01-27,EASTERN,Inside,5
2011-01-27,EASTERN,Outside,1
2011-01-27,NORTHEASTERN,Inside,3
2011-01-27,NORTHEASTERN,Outside,5
2011-01-27,NORTHERN,Inside,9
2011-01-27,NORTHERN,Outside,1
2011-01-27,NORTHWESTERN,Inside,6
2011-01-27,NORTHWESTERN,Outside,2
2011-01-27,SOUTHEASTERN,Inside,3
2011-01-27,SOUTHEASTERN,Outside,6
2011-01-27,SOUTHERN,Inside,5
2011-01-27,SOUTHERN,Outside,4
2011-01-27,SOUTHWESTERN,Inside,2
2011-01-27,SOUTHWESTERN,Outside,4
2011-01-27,WESTERN,Inside,1
2011-01-27,WESTERN,Outside,5
2011-01-28,CENTRAL,Inside,8
2011-01-28,CENTRAL,Outside,8
2011-01-28,EASTERN,Inside,6
2011-01-28,EASTERN,Outside,1
2011-01-28,NORTHEASTERN,Inside,13
2011-01-28,NORTHEASTERN,Outside,12
2011-01-28,NORTHERN,Inside,11
2011-01-28,NORTHERN,Outside,6
2011-01-28,NORTHWESTERN,Inside,3
2011-01-28,NORTHWESTERN,Outside,2
2011-01-28,SOUTHEASTERN,Inside,11
2011-01-28,SOUTHEASTERN,Outside,10
2011-01-28,SOUTHERN,Inside,6
2011-01-28,SOUTHERN,Outside,8
2011-01-28,SOUTHWESTERN,Inside,7
2011-01-28,SOUTHWESTERN,Outside,3
2011-01-28,WESTERN,Inside,8
2011-01-28,WESTERN,Outside,2
2011-01-29,CENTRAL,Inside,6
